etsy_carrier,pwinty_carrier
airmail,Airmail
australia-post,AuPost
dhl,DHL
dpd,DpdNextDay
eupostal,EuPostal
fedex,FedEx
fedex,FedExIntl
fedex-uk,FedExUK
interlink-express,Interlink
parcel-force,ParcelForce
royal-mail,RoyalMail
tnt,TNT
uk-mail,UKMail
ups,UPS
ups,UPSMI
ups,UpsTwoDay
dpd-uk,DPD Local
royal-mail,Royal Mail
usps,USPS
